Program,Department,High School GPA,SAT Score,ACT Score,Advanced Coursework (0-10),STEM Extracurriculars (0-10),Leadership Experience (0-10),Letters of Recommendation (0-10),Personal Statement Quality (0-10),Diversity/Inclusion Contribution (0-10),Transfer Student GPA,Admission Status
Computer Engineering,Information Systems,2.46,1504,26,2,6,2,4,1,5,2.87,Yes
Information Systems,Computer Science and Electrical Engineering,0.69,1311,22,8,0,5,3,7,2,0.8,No
Electrical Engineering,Biological Sciences (in collaboration with COEIT),2.95,816,9,5,8,2,1,2,3,0.98,Yes
Environmental Engineering,Mechanical Engineering,3.04,1013,21,0,1,0,7,10,9,1.91,No
Cybersecurity Informatics,Mechanical Engineering,2.63,1067,32,9,10,5,7,9,9,2.64,Yes
Business Tech0logy Administration,Information Systems,1.52,1110,32,2,4,0,9,0,5,2.93,Yes
Chemical Engineering,Information Systems,2.18,1207,34,4,3,1,6,3,9,0.09,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",1.75,1030,23,3,4,8,5,8,6,0.16,Yes
Business Tech0logy Administration,Information Systems,0.01,931,26,4,8,1,7,3,7,2.33,No
Bioinformatics and Computational Biology,Information Systems,0.05,886,16,0,4,1,6,6,6,0.88,Yes
Information Systems,Computer Science and Electrical Engineering,0.79,1308,3,0,3,4,8,4,4,1.74,No
Mechanical Engineering,Computer Science and Electrical Engineering,3.65,1315,2,1,3,3,7,4,5,0.08,Yes
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),2.53,1588,9,8,4,3,5,9,0,1.96,Yes
Computer Science,Information Systems,1.56,826,28,2,9,9,5,2,2,0.04,Yes
Electrical Engineering,Information Systems,2.43,1322,24,7,0,2,9,10,7,3.96,Yes
Business Tech0logy Administration,Mechanical Engineering,0.26,989,28,9,8,3,10,1,2,0.61,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,0.42,1119,7,2,0,6,1,4,2,3.23,Yes
Mechanical Engineering,Mechanical Engineering,0.32,1399,26,2,6,2,7,1,6,1.44,Yes
Environmental Engineering,Information Systems,3.27,1466,1,8,3,10,5,7,7,1.02,Yes
Electrical Engineering,Computer Science and Electrical Engineering,4,922,35,8,8,5,1,6,4,0.54,No
Cybersecurity Informatics,Information Systems,0.89,1247,18,10,9,2,10,1,6,3.48,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",1.93,1347,22,1,0,5,10,10,6,1.29,Yes
Business Tech0logy Administration,Mechanical Engineering,0.53,1402,13,7,3,9,1,4,7,2.96,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.53,1558,16,10,6,0,1,4,1,0.45,Yes
Computer Engineering,Computer Science and Electrical Engineering,0.62,1275,29,10,1,2,1,3,4,3.93,Yes
Electrical Engineering,Information Systems,2.1,861,21,8,4,3,2,6,2,2.31,No
Electrical Engineering,Information Systems,2.33,1230,9,6,10,10,5,1,2,3.17,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),1.92,1025,29,7,9,3,4,5,4,0.03,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),0.24,1121,12,0,6,3,2,8,1,2.7,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,2.74,1096,8,1,9,0,6,10,4,3.6,No
Environmental Engineering,Computer Science and Electrical Engineering,3.54,1017,10,7,9,1,3,0,10,2.09,Yes
Computer Engineering,Information Systems,0.36,1228,34,2,2,0,1,0,3,3.36,Yes
Computer Science,Mechanical Engineering,2.91,878,20,6,7,3,9,0,9,2.07,No
Computer Science,Computer Science and Electrical Engineering,3.28,1564,16,6,3,8,0,5,7,3.89,Yes
Bioinformatics and Computational Biology,Information Systems,0.65,1335,11,7,4,7,3,6,0,0.55,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),3.98,1202,14,7,4,0,7,3,3,3.71,No
Electrical Engineering,Computer Science and Electrical Engineering,1.19,1510,31,7,6,7,1,9,6,2.35,No
Bioinformatics and Computational Biology,Information Systems,1.24,1295,34,4,7,1,10,9,1,3.57,Yes
Information Systems,Mechanical Engineering,2.27,867,4,0,0,10,2,7,1,0.5,Yes
Cybersecurity Informatics,Mechanical Engineering,3.28,1283,7,8,9,4,5,1,4,3.66,No
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",1.83,1095,1,10,10,8,2,8,8,1.97,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.18,893,24,10,6,8,8,5,9,1.83,No
Computer Science,Mechanical Engineering,2.47,991,28,8,7,0,9,10,9,2.28,No
Chemical Engineering,Computer Science and Electrical Engineering,3.17,1491,24,5,1,8,2,5,7,3.5,Yes
Environmental Engineering,Mechanical Engineering,2.59,1482,13,8,0,10,2,10,4,3.34,Yes
Environmental Engineering,Computer Science and Electrical Engineering,0.68,1160,10,6,8,5,10,2,6,0.5,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.4,989,26,3,10,0,6,5,7,0.05,Yes
Environmental Engineering,Computer Science and Electrical Engineering,0.85,1238,2,9,8,6,2,2,2,2.05,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",1.74,1225,33,9,10,2,3,5,8,3.96,No
Computer Science,Biological Sciences (in collaboration with COEIT),3.46,1242,28,3,10,4,9,10,6,2.03,Yes
Computer Science,Computer Science and Electrical Engineering,0.5,847,27,0,10,3,3,4,10,0.58,No
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),1.45,1101,6,8,10,2,6,1,3,1.74,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),2.25,1364,17,5,2,2,8,4,0,1.47,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),3.48,919,33,6,9,3,5,0,6,3.82,Yes
Information Systems,Mechanical Engineering,3.12,1119,15,1,8,2,9,7,5,3.8,Yes
Electrical Engineering,Information Systems,1.7,1587,3,10,0,5,10,3,6,0.29,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),2,1437,10,2,0,1,7,8,6,0.93,No
Mechanical Engineering,Computer Science and Electrical Engineering,3.38,1212,29,3,1,0,6,1,9,1.83,No
Electrical Engineering,Information Systems,3.51,922,7,2,6,8,10,6,5,2.28,Yes
Chemical Engineering,Mechanical Engineering,2.11,853,22,9,3,6,3,6,0,0.76,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",0.8,1017,31,8,8,0,4,5,7,2.34,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),1.99,1138,14,7,5,7,4,3,1,0.81,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.71,935,2,1,7,0,9,9,4,1.68,No
Chemical Engineering,Mechanical Engineering,2.44,1285,6,8,6,0,9,2,7,2.09,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.09,819,19,10,8,5,1,7,6,3.9,No
Business Tech0logy Administration,Computer Science and Electrical Engineering,0.07,1309,27,7,10,9,7,2,1,0.27,No
Computer Science,Information Systems,2.54,1248,6,3,9,8,0,5,5,3.7,Yes
Computer Science,Information Systems,2.39,1113,2,2,8,10,5,1,10,0.55,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,1.89,864,13,3,1,10,1,7,0,0.39,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.72,1218,10,1,0,2,5,7,6,1.18,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.45,1447,5,7,8,1,3,4,9,2.25,No
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.72,1447,14,5,8,9,7,0,1,1.66,Yes
Chemical Engineering,Mechanical Engineering,1.03,1339,31,9,2,10,9,4,5,2.09,No
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.02,1406,25,0,6,10,7,3,10,3.12,Yes
Computer Science,Mechanical Engineering,1.21,815,6,6,7,0,5,7,6,3.32,No
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),1.67,1258,12,3,1,5,2,8,8,3.85,No
Business Tech0logy Administration,Computer Science and Electrical Engineering,2,1119,3,10,2,4,1,4,2,3.7,Yes
Bioinformatics and Computational Biology,Information Systems,3.14,1220,23,3,6,9,6,10,1,0.77,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.66,923,1,4,2,6,5,7,3,2.86,Yes
Mechanical Engineering,Information Systems,2.35,1344,15,10,8,4,8,10,3,3,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.97,1319,13,7,6,5,0,2,4,1.91,No
Mechanical Engineering,Computer Science and Electrical Engineering,2.27,1544,14,9,8,1,2,0,6,3.54,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.23,1452,19,1,6,0,5,3,2,3.03,Yes
Electrical Engineering,Computer Science and Electrical Engineering,0.56,1583,9,6,10,5,4,2,4,1.61,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),0.03,1493,28,8,5,1,1,5,9,1.69,Yes
Cybersecurity Informatics,Mechanical Engineering,0.11,1158,33,7,4,2,4,9,4,1.5,No
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.57,1524,33,9,1,0,7,1,6,2.03,No
Environmental Engineering,Biological Sciences (in collaboration with COEIT),0.3,1350,33,9,7,7,8,6,8,2.93,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),2.45,918,4,1,3,6,8,10,9,1.27,Yes
Business Tech0logy Administration,Mechanical Engineering,2.31,1236,18,3,7,9,5,2,10,0.91,No
Electrical Engineering,Information Systems,3.12,1345,26,0,5,7,8,0,6,0.14,No
Bioinformatics and Computational Biology,Information Systems,1.25,1585,25,3,9,4,4,9,2,3.19,No
Environmental Engineering,Computer Science and Electrical Engineering,1.41,1352,35,4,5,5,1,4,2,1.45,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),1.41,1288,18,5,2,2,5,3,2,3.02,No
Cybersecurity Informatics,Mechanical Engineering,0.67,906,33,1,6,6,8,2,0,0.45,No
Cybersecurity Informatics,Mechanical Engineering,0.83,1539,18,4,6,3,8,9,9,2.13,Yes
Bioinformatics and Computational Biology,Information Systems,0.79,835,29,4,4,1,9,0,5,1.59,Yes
Electrical Engineering,Mechanical Engineering,0.58,1302,8,3,10,6,0,0,9,1.9,No
Chemical Engineering,Information Systems,3.08,1060,2,7,5,5,2,10,3,3.7,No
Business Tech0logy Administration,Information Systems,2.44,827,4,9,5,0,6,10,9,0.26,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),2.28,996,15,6,7,8,10,1,10,1.68,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.71,1123,8,10,8,10,2,4,3,3.31,No
Information Systems,Computer Science and Electrical Engineering,1.38,930,30,10,10,8,8,3,2,2.47,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",2.92,1368,24,1,5,9,5,5,3,3.93,Yes
Electrical Engineering,Mechanical Engineering,1.09,979,12,7,2,2,1,10,2,2.98,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.27,1122,14,7,4,9,6,0,1,0.38,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.46,1255,32,4,0,0,6,9,7,1.51,Yes
Mechanical Engineering,Information Systems,3.29,1334,14,6,0,6,6,7,8,1.32,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),0.22,1381,28,3,9,3,1,0,10,1.96,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.37,1082,20,4,9,2,5,0,7,2.49,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,0.41,1141,13,2,0,7,3,1,9,1.01,Yes
Information Systems,Information Systems,2.67,1217,17,3,8,8,1,1,9,2.51,No
Cybersecurity Informatics,Computer Science and Electrical Engineering,0.91,1560,30,3,9,7,0,1,3,1.06,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),0.19,992,17,6,1,3,2,5,1,0.5,No
Information Systems,"Chemical, Biochemical & Environmental Engineering",1.04,1091,32,9,9,6,10,2,5,2.05,No
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",1.61,1320,19,9,10,1,5,9,4,1.95,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),0.58,1163,9,9,0,10,4,4,5,1.63,Yes
Electrical Engineering,Mechanical Engineering,0.4,1554,26,0,4,0,8,6,3,2.13,Yes
Environmental Engineering,Information Systems,3.98,1336,1,6,7,0,4,2,1,2,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",0.32,877,19,4,4,9,1,10,10,2.34,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),0.76,1201,12,7,4,4,6,3,3,3.87,Yes
Computer Science,Information Systems,1.01,1265,28,10,9,8,5,6,0,2.83,Yes
Bioinformatics and Computational Biology,Information Systems,1.27,1040,31,7,1,3,4,9,8,3.46,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),0.53,1082,13,5,6,3,10,10,9,1.99,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",3.36,1320,11,2,0,6,10,4,5,2.77,Yes
Computer Science,Mechanical Engineering,3.7,1515,12,1,1,9,9,3,6,0.26,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",2.2,1495,23,8,4,0,4,6,7,3.25,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",2.27,914,29,7,6,1,5,1,6,3.78,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.98,846,9,9,10,6,4,1,4,3.9,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",3.54,1488,14,4,6,9,4,0,0,0.74,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,1.63,1453,32,9,7,7,8,0,9,3.86,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.04,873,3,2,5,2,5,9,0,2.17,Yes
Computer Science,Mechanical Engineering,1.06,1395,7,6,2,8,8,8,1,3.42,Yes
Mechanical Engineering,Mechanical Engineering,0.21,1589,6,10,7,0,2,9,0,3,Yes
Chemical Engineering,Computer Science and Electrical Engineering,0.09,1498,35,1,0,1,6,2,10,3.63,No
Information Systems,Mechanical Engineering,2.16,961,27,4,10,1,7,6,6,2.46,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2,1157,28,3,2,7,9,9,5,1.31,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,0.6,1252,23,4,7,3,0,4,3,3.04,No
Environmental Engineering,Mechanical Engineering,3.41,829,10,9,2,2,2,0,3,1.15,No
Computer Science,Mechanical Engineering,2.33,800,17,4,4,7,6,7,7,1.07,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",1.53,1337,15,10,4,9,2,1,8,0.68,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.02,998,14,0,6,0,7,6,9,0.31,Yes
Cybersecurity Informatics,Information Systems,0.39,1062,11,10,3,2,4,4,1,3.22,No
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.6,1164,29,10,9,0,5,5,7,1.21,No
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",1.16,804,18,9,1,2,0,4,4,1.59,No
Cybersecurity Informatics,Computer Science and Electrical Engineering,0.7,1395,26,7,1,5,9,5,0,3.1,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",1.7,1247,25,1,6,7,8,4,1,0.14,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",1.12,822,1,8,2,5,9,3,6,1.32,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),1.23,1447,3,3,9,4,6,5,2,3.68,Yes
Electrical Engineering,Mechanical Engineering,3.3,1230,19,7,1,1,4,4,6,0.81,Yes
Computer Engineering,Mechanical Engineering,2.19,1007,11,9,4,4,9,1,3,0.33,No
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),3.73,968,28,2,1,5,4,6,5,3.88,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.8,1258,18,4,10,7,3,5,1,2.7,No
Mechanical Engineering,Computer Science and Electrical Engineering,3.97,1132,14,10,4,8,0,8,4,3.27,Yes
Computer Engineering,Mechanical Engineering,0.53,993,13,0,7,0,0,0,8,0.65,Yes
Chemical Engineering,Information Systems,3.59,1185,19,5,5,10,0,0,9,0.05,No
Electrical Engineering,Computer Science and Electrical Engineering,1.18,1118,32,7,0,1,2,5,9,2.24,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",2.52,1522,33,3,9,9,3,5,0,2.64,Yes
Chemical Engineering,Information Systems,3.51,1540,6,0,6,8,3,3,10,0.9,No
Chemical Engineering,Computer Science and Electrical Engineering,0.37,1174,30,10,3,8,4,9,3,0.08,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),0.61,1080,10,10,3,4,3,5,2,3.88,Yes
Information Systems,Information Systems,2.93,1037,30,10,8,9,4,2,10,1.46,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",1.39,1415,9,9,9,10,4,5,2,2.87,Yes
Business Tech0logy Administration,Information Systems,2.62,1308,6,9,5,6,2,1,9,1.89,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),0.46,1340,6,7,9,3,5,7,1,1.03,Yes
Computer Science,Mechanical Engineering,3.89,1348,20,5,6,5,10,5,4,3.81,Yes
Computer Engineering,Mechanical Engineering,2.01,1036,17,9,1,9,3,8,6,2.2,No
Cybersecurity Informatics,Mechanical Engineering,3.48,1480,2,7,10,10,0,8,0,1.36,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),2.7,1166,2,1,2,0,5,2,6,2.95,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.81,1548,10,5,9,10,7,5,1,2.48,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),2.28,1142,1,1,0,10,0,5,8,2.82,Yes
Electrical Engineering,Information Systems,1.23,1398,34,5,4,5,2,3,4,3.32,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,2.45,1346,20,5,6,9,4,8,1,0.65,Yes
Computer Engineering,Mechanical Engineering,3.99,802,32,9,5,2,6,5,1,0.24,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.26,974,17,6,5,9,10,7,10,1.85,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",1.82,989,22,0,5,7,8,1,4,0.09,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.27,1585,5,0,3,7,9,10,2,0.84,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.81,1112,1,0,6,10,7,7,4,0.66,Yes
Computer Science,Computer Science and Electrical Engineering,3.75,1384,31,4,5,6,1,2,2,3.06,No
Business Tech0logy Administration,Mechanical Engineering,1.46,1359,18,0,4,7,8,2,2,3.13,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),0.16,819,5,2,6,2,1,1,2,0.53,No
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",0.35,1008,25,0,6,0,9,8,6,1.25,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.07,908,7,6,1,7,5,3,9,2.84,Yes
Computer Science,Mechanical Engineering,2.77,1216,14,7,4,4,3,6,1,0.81,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),2.93,926,7,3,10,10,9,8,6,1.39,No
Bioinformatics and Computational Biology,Mechanical Engineering,2.67,1405,30,8,10,10,7,0,1,1.47,Yes
Chemical Engineering,Information Systems,1.83,869,17,7,6,2,3,7,5,0.29,No
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),0.27,1078,13,6,7,10,8,2,9,0.79,Yes
Environmental Engineering,Information Systems,3.34,845,24,10,8,10,1,0,5,0.86,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",0.72,1446,12,8,3,7,3,1,2,2.92,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.96,825,18,9,4,5,6,1,8,1.15,No
Environmental Engineering,Biological Sciences (in collaboration with COEIT),0.82,994,23,2,7,0,1,3,8,2.97,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",0.33,1592,22,1,7,1,0,6,6,2.07,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),1.5,994,25,9,1,3,1,4,9,0.32,No
Business Tech0logy Administration,Mechanical Engineering,1.3,1518,25,4,0,8,1,8,1,0.87,No
Chemical Engineering,Information Systems,3.91,923,21,9,9,8,5,4,4,0.18,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,1.58,1478,29,8,9,9,2,2,8,3.86,Yes
Environmental Engineering,Mechanical Engineering,0.19,1379,8,1,3,1,6,5,6,3.3,Yes
Computer Science,Computer Science and Electrical Engineering,3.95,1477,5,1,10,0,10,0,10,1.07,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.15,917,2,4,1,0,3,6,1,1.41,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.99,1119,23,8,9,1,9,0,1,2.84,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),1.27,1524,2,8,2,9,1,2,9,1.83,Yes
Computer Engineering,Mechanical Engineering,0.47,1533,22,9,1,3,9,2,4,2.4,Yes
Information Systems,Computer Science and Electrical Engineering,1.59,998,21,3,3,8,1,5,6,0.11,No
Bioinformatics and Computational Biology,Information Systems,0.56,1196,17,8,7,7,10,1,5,3.7,Yes
Electrical Engineering,Mechanical Engineering,0.59,977,31,0,10,2,1,0,10,1.03,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.61,842,25,8,8,10,3,3,10,2.63,No
Electrical Engineering,Mechanical Engineering,3.98,934,7,10,6,0,7,9,1,3.8,No
Mechanical Engineering,Information Systems,3.98,1270,25,6,1,5,9,2,6,2.64,Yes
Environmental Engineering,Mechanical Engineering,1.75,1483,18,8,6,9,10,10,2,3.02,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),0.96,1247,32,10,9,10,2,1,6,3.86,No
Chemical Engineering,Information Systems,0.69,806,8,9,5,6,5,6,2,2.7,No
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,1.53,1321,14,4,3,1,3,10,1,2.02,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",2.4,877,6,5,0,10,1,4,7,2.12,No
Environmental Engineering,Mechanical Engineering,2.97,1508,23,0,9,5,2,4,9,0.17,Yes
Bioinformatics and Computational Biology,Information Systems,2.07,989,15,1,9,7,3,4,6,0.33,No
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),3.37,1540,22,0,0,0,10,6,5,2.24,No
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),3.68,832,3,0,5,7,10,9,9,2.15,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.54,1117,9,6,6,2,8,3,9,2.03,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",1.48,916,5,2,0,10,10,0,3,0.56,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),3.8,877,12,0,1,8,4,3,5,3.72,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.69,1250,29,0,8,9,6,2,2,3.63,No
Electrical Engineering,Information Systems,1.65,1341,1,6,9,9,0,0,7,1.19,Yes
Chemical Engineering,Mechanical Engineering,1.69,923,33,10,10,7,0,10,1,1.61,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,0.31,1347,21,4,3,1,5,7,4,1.54,No
Information Systems,Biological Sciences (in collaboration with COEIT),3.75,1173,21,0,3,1,6,5,1,0.9,Yes
Information Systems,Mechanical Engineering,0.35,1514,27,7,9,5,0,9,2,1.32,Yes
