Student ID,Interests,Career Goals,Matched Courses
137,Environmental Engineering,Robotics Engineer,"Introduction to Embedded Systems, Robotics"
138,Data Science,Data Scientist,"Signal Processing, Analog and Digital Communication"
139,Software Development,AI Specialist,"Introduction to Embedded Systems, Robotics"
140,Biochemical Engineering,Data Scientist,"Environmental Engineering, Water Quality Control"
141,"AI, Machine Learning",Database Administrator,"Environmental Engineering, Water Quality Control"
142,Environmental Engineering,AI Specialist,"Signal Processing, Analog and Digital Communication"
143,"AI, Machine Learning",Biochemical Engineer,"Signal Processing, Analog and Digital Communication"
144,Data Science,Software Developer,"Computer Science I, Computer Science II"
145,Data Science,Database Administrator,"Data Mining for Business Intelligence, Machine Learning"
146,Data Science,Data Scientist,"Biochemical Engineering, Process Design"
147,Cybersecurity,AI Specialist,"Introduction to Cybersecurity, Digital Forensics"
148,"AI, Machine Learning",Biochemical Engineer,"Environmental Engineering, Water Quality Control"
149,Signal Processing,Environmental Engineer,"Data Mining for Business Intelligence, Machine Learning"
150,Software Development,Signal Processing Engineer,"Signal Processing, Analog and Digital Communication"
151,Environmental Engineering,Robotics Engineer,"Biochemical Engineering, Process Design"
152,Software Development,Signal Processing Engineer,"Principles of Digital Design, VLSI Design"
153,Environmental Engineering,Database Administrator,"Introduction to Cybersecurity, Digital Forensics"
154,Cybersecurity,Signal Processing Engineer,"Environmental Engineering, Water Quality Control"
155,Software Development,Software Developer,"Database Management Systems, Systems Analysis and Design"
156,Biochemical Engineering,AI Specialist,"Software and Hardware Concepts, Data Structures"
157,Cybersecurity,Signal Processing Engineer,"Computer Science I, Computer Science II"
158,Software Development,Signal Processing Engineer,"Computer Science I, Computer Science II"
159,"AI, Machine Learning",Embedded Systems Engineer,"Principles of Digital Design, VLSI Design"
160,Biochemical Engineering,Robotics Engineer,"Principles of Digital Design, VLSI Design"
161,Embedded Systems,Signal Processing Engineer,"Environmental Engineering, Water Quality Control"
162,Biochemical Engineering,Cybersecurity Analyst,"Introduction to Embedded Systems, Robotics"
163,Embedded Systems,AI Specialist,"Database Management Systems, Systems Analysis and Design"
164,Data Science,Software Developer,"Environmental Engineering, Water Quality Control"
165,Database Management,AI Specialist,"Biochemical Engineering, Process Design"
166,Cybersecurity,Biochemical Engineer,"Data Mining for Business Intelligence, Machine Learning"
167,Database Management,Robotics Engineer,"Principles of Digital Design, VLSI Design"
168,Software Development,Cybersecurity Analyst,"Database Management Systems, Systems Analysis and Design"
169,Data Science,Software Developer,"Software and Hardware Concepts, Data Structures"
170,Cybersecurity,Database Administrator,"Introduction to Embedded Systems, Robotics"
171,Cybersecurity,AI Specialist,"Database Management Systems, Systems Analysis and Design"
172,Environmental Engineering,Software Developer,"Principles of Digital Design, VLSI Design"
173,"AI, Machine Learning",Robotics Engineer,"Software and Hardware Concepts, Data Structures"
174,"AI, Machine Learning",Biochemical Engineer,"Computer Science I, Computer Science II"
175,Biochemical Engineering,Software Developer,"Introduction to Cybersecurity, Digital Forensics"
176,Software Development,Embedded Systems Engineer,"Signal Processing, Analog and Digital Communication"
177,Cybersecurity,Software Developer,"Signal Processing, Analog and Digital Communication"
178,Database Management,AI Specialist,"Software and Hardware Concepts, Data Structures"
179,Data Science,Software Developer,"Computer Science I, Computer Science II"
180,Biochemical Engineering,Signal Processing Engineer,"Introduction to Embedded Systems, Robotics"
181,Database Management,Database Administrator,"Data Mining for Business Intelligence, Machine Learning"
182,Data Science,Environmental Engineer,"Principles of Digital Design, VLSI Design"
183,Robotics,Environmental Engineer,"Biochemical Engineering, Process Design"
184,Cybersecurity,Database Administrator,"Introduction to Embedded Systems, Robotics"
185,Signal Processing,Biochemical Engineer,"Introduction to Embedded Systems, Robotics"
186,"AI, Machine Learning",AI Specialist,"Data Mining for Business Intelligence, Machine Learning"
187,Embedded Systems,Signal Processing Engineer,"Principles of Digital Design, VLSI Design"
188,Software Development,Embedded Systems Engineer,"Computer Science I, Computer Science II"
189,Robotics,Robotics Engineer,"Introduction to Cybersecurity, Digital Forensics"
190,Software Development,Biochemical Engineer,"Computer Science I, Computer Science II"
191,Robotics,Environmental Engineer,"Environmental Engineering, Water Quality Control"
192,Software Development,Environmental Engineer,"Database Management Systems, Systems Analysis and Design"
193,Embedded Systems,Cybersecurity Analyst,"Signal Processing, Analog and Digital Communication"
194,"AI, Machine Learning",AI Specialist,"Computer Science I, Computer Science II"
195,Environmental Engineering,Environmental Engineer,"Computer Science I, Computer Science II"
196,Software Development,Embedded Systems Engineer,"Biochemical Engineering, Process Design"
197,Data Science,Robotics Engineer,"Software and Hardware Concepts, Data Structures"
198,"AI, Machine Learning",Cybersecurity Analyst,"Principles of Digital Design, VLSI Design"
199,"AI, Machine Learning",Signal Processing Engineer,"Biochemical Engineering, Process Design"
200,Database Management,Database Administrator,"Principles of Digital Design, VLSI Design"
201,Cybersecurity,Embedded Systems Engineer,"Introduction to Cybersecurity, Digital Forensics"
202,Biochemical Engineering,Database Administrator,"Biochemical Engineering, Process Design"
203,Biochemical Engineering,Environmental Engineer,"Principles of Digital Design, VLSI Design"
204,Environmental Engineering,Robotics Engineer,"Biochemical Engineering, Process Design"
205,Database Management,Cybersecurity Analyst,"Introduction to Cybersecurity, Digital Forensics"
206,Biochemical Engineering,Environmental Engineer,"Biochemical Engineering, Process Design"
207,Environmental Engineering,Data Scientist,"Data Mining for Business Intelligence, Machine Learning"
208,Data Science,Database Administrator,"Data Mining for Business Intelligence, Machine Learning"
209,Software Development,AI Specialist,"Introduction to Embedded Systems, Robotics"
210,Signal Processing,Environmental Engineer,"Data Mining for Business Intelligence, Machine Learning"
211,Data Science,Cybersecurity Analyst,"Data Mining for Business Intelligence, Machine Learning"
212,Software Development,Signal Processing Engineer,"Biochemical Engineering, Process Design"
213,"AI, Machine Learning",Environmental Engineer,"Introduction to Embedded Systems, Robotics"
214,Biochemical Engineering,Biochemical Engineer,"Introduction to Cybersecurity, Digital Forensics"
215,Software Development,Software Developer,"Introduction to Embedded Systems, Robotics"
216,Database Management,Environmental Engineer,"Data Mining for Business Intelligence, Machine Learning"
217,Environmental Engineering,Robotics Engineer,"Signal Processing, Analog and Digital Communication"
218,Robotics,AI Specialist,"Software and Hardware Concepts, Data Structures"
219,Software Development,Environmental Engineer,"Environmental Engineering, Water Quality Control"
220,Embedded Systems,Embedded Systems Engineer,"Biochemical Engineering, Process Design"
221,Environmental Engineering,Robotics Engineer,"Computer Science I, Computer Science II"
222,Data Science,Data Scientist,"Software and Hardware Concepts, Data Structures"
223,"AI, Machine Learning",Environmental Engineer,"Computer Science I, Computer Science II"
224,Software Development,Embedded Systems Engineer,"Biochemical Engineering, Process Design"
225,"AI, Machine Learning",Cybersecurity Analyst,"Biochemical Engineering, Process Design"
226,"AI, Machine Learning",Robotics Engineer,"Database Management Systems, Systems Analysis and Design"
227,Environmental Engineering,AI Specialist,"Signal Processing, Analog and Digital Communication"
228,Database Management,Software Developer,"Software and Hardware Concepts, Data Structures"
229,"AI, Machine Learning",Embedded Systems Engineer,"Introduction to Cybersecurity, Digital Forensics"
230,Cybersecurity,Signal Processing Engineer,"Introduction to Embedded Systems, Robotics"
231,Data Science,Robotics Engineer,"Data Mining for Business Intelligence, Machine Learning"
232,Signal Processing,Database Administrator,"Signal Processing, Analog and Digital Communication"
233,Signal Processing,AI Specialist,"Database Management Systems, Systems Analysis and Design"
234,Embedded Systems,Signal Processing Engineer,"Introduction to Cybersecurity, Digital Forensics"
235,Environmental Engineering,Environmental Engineer,"Biochemical Engineering, Process Design"
236,Embedded Systems,Robotics Engineer,"Computer Science I, Computer Science II"
237,Cybersecurity,Database Administrator,"Environmental Engineering, Water Quality Control"
238,Embedded Systems,Data Scientist,"Signal Processing, Analog and Digital Communication"
239,Signal Processing,Embedded Systems Engineer,"Software and Hardware Concepts, Data Structures"
240,Database Management,Biochemical Engineer,"Introduction to Cybersecurity, Digital Forensics"
241,Embedded Systems,Cybersecurity Analyst,"Signal Processing, Analog and Digital Communication"
242,"AI, Machine Learning",Embedded Systems Engineer,"Principles of Digital Design, VLSI Design"
243,Data Science,Robotics Engineer,"Introduction to Cybersecurity, Digital Forensics"
244,Software Development,Cybersecurity Analyst,"Data Mining for Business Intelligence, Machine Learning"
245,Cybersecurity,Signal Processing Engineer,"Introduction to Cybersecurity, Digital Forensics"
246,Signal Processing,Biochemical Engineer,"Introduction to Cybersecurity, Digital Forensics"
247,Data Science,Environmental Engineer,"Database Management Systems, Systems Analysis and Design"
248,Signal Processing,Cybersecurity Analyst,"Biochemical Engineering, Process Design"
249,Biochemical Engineering,Software Developer,"Signal Processing, Analog and Digital Communication"
250,Robotics,Data Scientist,"Signal Processing, Analog and Digital Communication"
251,Signal Processing,Data Scientist,"Signal Processing, Analog and Digital Communication"
252,Signal Processing,Database Administrator,"Principles of Digital Design, VLSI Design"
253,Robotics,Data Scientist,"Introduction to Embedded Systems, Robotics"
254,Software Development,Software Developer,"Data Mining for Business Intelligence, Machine Learning"
255,Signal Processing,Embedded Systems Engineer,"Principles of Digital Design, VLSI Design"
256,Cybersecurity,Biochemical Engineer,"Biochemical Engineering, Process Design"
257,"AI, Machine Learning",Signal Processing Engineer,"Introduction to Embedded Systems, Robotics"
258,Robotics,Robotics Engineer,"Data Mining for Business Intelligence, Machine Learning"
259,Biochemical Engineering,Cybersecurity Analyst,"Computer Science I, Computer Science II"
260,Robotics,Data Scientist,"Principles of Digital Design, VLSI Design"
261,Data Science,Data Scientist,"Data Mining for Business Intelligence, Machine Learning"
262,Data Science,Robotics Engineer,"Software and Hardware Concepts, Data Structures"
263,"AI, Machine Learning",AI Specialist,"Biochemical Engineering, Process Design"
264,Database Management,Robotics Engineer,"Introduction to Embedded Systems, Robotics"
265,Database Management,Database Administrator,"Introduction to Embedded Systems, Robotics"
266,Cybersecurity,Robotics Engineer,"Database Management Systems, Systems Analysis and Design"
267,Embedded Systems,Database Administrator,"Signal Processing, Analog and Digital Communication"
268,Embedded Systems,Database Administrator,"Biochemical Engineering, Process Design"
269,Cybersecurity,Data Scientist,"Introduction to Cybersecurity, Digital Forensics"
270,Data Science,AI Specialist,"Software and Hardware Concepts, Data Structures"
271,Signal Processing,Data Scientist,"Computer Science I, Computer Science II"
272,"AI, Machine Learning",Biochemical Engineer,"Computer Science I, Computer Science II"
273,Signal Processing,AI Specialist,"Software and Hardware Concepts, Data Structures"
274,Signal Processing,Cybersecurity Analyst,"Introduction to Embedded Systems, Robotics"
275,Embedded Systems,Robotics Engineer,"Introduction to Embedded Systems, Robotics"
276,Database Management,AI Specialist,"Introduction to Embedded Systems, Robotics"
277,Embedded Systems,Data Scientist,"Introduction to Embedded Systems, Robotics"
278,Signal Processing,Cybersecurity Analyst,"Signal Processing, Analog and Digital Communication"
279,Environmental Engineering,Database Administrator,"Biochemical Engineering, Process Design"
280,Biochemical Engineering,Cybersecurity Analyst,"Environmental Engineering, Water Quality Control"
281,"AI, Machine Learning",Biochemical Engineer,"Environmental Engineering, Water Quality Control"
282,Software Development,Database Administrator,"Principles of Digital Design, VLSI Design"
283,Data Science,Signal Processing Engineer,"Biochemical Engineering, Process Design"
284,Signal Processing,Database Administrator,"Computer Science I, Computer Science II"
285,Database Management,Robotics Engineer,"Software and Hardware Concepts, Data Structures"
286,Environmental Engineering,AI Specialist,"Software and Hardware Concepts, Data Structures"
287,Biochemical Engineering,Data Scientist,"Database Management Systems, Systems Analysis and Design"
288,Environmental Engineering,Robotics Engineer,"Introduction to Cybersecurity, Digital Forensics"
289,Database Management,Environmental Engineer,"Computer Science I, Computer Science II"
290,Robotics,Data Scientist,"Signal Processing, Analog and Digital Communication"
291,"AI, Machine Learning",AI Specialist,"Database Management Systems, Systems Analysis and Design"
292,Software Development,Robotics Engineer,"Introduction to Embedded Systems, Robotics"
293,Data Science,Data Scientist,"Data Mining for Business Intelligence, Machine Learning"
294,Biochemical Engineering,Database Administrator,"Introduction to Embedded Systems, Robotics"
295,Data Science,Software Developer,"Computer Science I, Computer Science II"
296,Cybersecurity,Robotics Engineer,"Database Management Systems, Systems Analysis and Design"
297,Biochemical Engineering,Signal Processing Engineer,"Signal Processing, Analog and Digital Communication"
298,"AI, Machine Learning",Biochemical Engineer,"Biochemical Engineering, Process Design"
299,Signal Processing,Embedded Systems Engineer,"Database Management Systems, Systems Analysis and Design"
300,Database Management,Environmental Engineer,"Introduction to Cybersecurity, Digital Forensics"
301,Signal Processing,Robotics Engineer,"Biochemical Engineering, Process Design"
302,Data Science,AI Specialist,"Signal Processing, Analog and Digital Communication"
303,Data Science,Embedded Systems Engineer,"Signal Processing, Analog and Digital Communication"
304,Cybersecurity,Database Administrator,"Database Management Systems, Systems Analysis and Design"
305,Environmental Engineering,Embedded Systems Engineer,"Signal Processing, Analog and Digital Communication"
306,Cybersecurity,Database Administrator,"Signal Processing, Analog and Digital Communication"
307,Environmental Engineering,Robotics Engineer,"Introduction to Cybersecurity, Digital Forensics"
308,Robotics,Database Administrator,"Software and Hardware Concepts, Data Structures"
309,Database Management,Embedded Systems Engineer,"Introduction to Embedded Systems, Robotics"
310,Signal Processing,Software Developer,"Software and Hardware Concepts, Data Structures"
311,"AI, Machine Learning",Cybersecurity Analyst,"Database Management Systems, Systems Analysis and Design"
312,Embedded Systems,Cybersecurity Analyst,"Introduction to Cybersecurity, Digital Forensics"
313,Cybersecurity,Database Administrator,"Environmental Engineering, Water Quality Control"
314,Biochemical Engineering,Database Administrator,"Biochemical Engineering, Process Design"
315,Robotics,Biochemical Engineer,"Signal Processing, Analog and Digital Communication"
316,Embedded Systems,Cybersecurity Analyst,"Computer Science I, Computer Science II"
317,Cybersecurity,Database Administrator,"Environmental Engineering, Water Quality Control"
318,Database Management,Database Administrator,"Software and Hardware Concepts, Data Structures"
319,Software Development,Robotics Engineer,"Signal Processing, Analog and Digital Communication"
320,Biochemical Engineering,Cybersecurity Analyst,"Introduction to Embedded Systems, Robotics"
321,Cybersecurity,Environmental Engineer,"Signal Processing, Analog and Digital Communication"
322,Biochemical Engineering,Biochemical Engineer,"Computer Science I, Computer Science II"
323,Environmental Engineering,Biochemical Engineer,"Computer Science I, Computer Science II"
324,Database Management,Environmental Engineer,"Biochemical Engineering, Process Design"
325,Robotics,Data Scientist,"Computer Science I, Computer Science II"
326,Database Management,Software Developer,"Data Mining for Business Intelligence, Machine Learning"
327,Data Science,Database Administrator,"Biochemical Engineering, Process Design"
328,Biochemical Engineering,Embedded Systems Engineer,"Introduction to Embedded Systems, Robotics"
329,Signal Processing,Software Developer,"Introduction to Cybersecurity, Digital Forensics"
330,Cybersecurity,Signal Processing Engineer,"Environmental Engineering, Water Quality Control"
331,"AI, Machine Learning",Environmental Engineer,"Introduction to Embedded Systems, Robotics"
332,Biochemical Engineering,Biochemical Engineer,"Computer Science I, Computer Science II"
333,Signal Processing,Database Administrator,"Database Management Systems, Systems Analysis and Design"
334,Robotics,Data Scientist,"Database Management Systems, Systems Analysis and Design"
335,Cybersecurity,Cybersecurity Analyst,"Database Management Systems, Systems Analysis and Design"
336,"AI, Machine Learning",Environmental Engineer,"Computer Science I, Computer Science II"
337,Data Science,Database Administrator,"Signal Processing, Analog and Digital Communication"
338,Database Management,Data Scientist,"Database Management Systems, Systems Analysis and Design"
339,Robotics,Cybersecurity Analyst,"Biochemical Engineering, Process Design"
340,Signal Processing,Data Scientist,"Signal Processing, Analog and Digital Communication"
341,Embedded Systems,Embedded Systems Engineer,"Software and Hardware Concepts, Data Structures"
342,Software Development,Robotics Engineer,"Introduction to Embedded Systems, Robotics"
343,"AI, Machine Learning",Data Scientist,"Signal Processing, Analog and Digital Communication"
344,Database Management,Environmental Engineer,"Signal Processing, Analog and Digital Communication"
345,Biochemical Engineering,Signal Processing Engineer,"Software and Hardware Concepts, Data Structures"
346,Embedded Systems,Database Administrator,"Principles of Digital Design, VLSI Design"
347,Robotics,Cybersecurity Analyst,"Database Management Systems, Systems Analysis and Design"
348,Data Science,Cybersecurity Analyst,"Software and Hardware Concepts, Data Structures"
349,Biochemical Engineering,Biochemical Engineer,"Environmental Engineering, Water Quality Control"
350,Biochemical Engineering,Signal Processing Engineer,"Software and Hardware Concepts, Data Structures"
351,Signal Processing,Embedded Systems Engineer,"Introduction to Embedded Systems, Robotics"
352,"AI, Machine Learning",Environmental Engineer,"Software and Hardware Concepts, Data Structures"
353,Software Development,Signal Processing Engineer,"Introduction to Embedded Systems, Robotics"
354,Signal Processing,Signal Processing Engineer,"Environmental Engineering, Water Quality Control"
355,Robotics,Signal Processing Engineer,"Principles of Digital Design, VLSI Design"
356,Environmental Engineering,Database Administrator,"Signal Processing, Analog and Digital Communication"
357,Data Science,Cybersecurity Analyst,"Data Mining for Business Intelligence, Machine Learning"
358,Signal Processing,Cybersecurity Analyst,"Biochemical Engineering, Process Design"
359,Database Management,Signal Processing Engineer,"Software and Hardware Concepts, Data Structures"
360,Data Science,Data Scientist,"Introduction to Embedded Systems, Robotics"
361,Robotics,Embedded Systems Engineer,"Biochemical Engineering, Process Design"
362,Software Development,Database Administrator,"Data Mining for Business Intelligence, Machine Learning"
363,Data Science,AI Specialist,"Data Mining for Business Intelligence, Machine Learning"
364,Data Science,Database Administrator,"Software and Hardware Concepts, Data Structures"
365,Robotics,Embedded Systems Engineer,"Introduction to Cybersecurity, Digital Forensics"
366,Robotics,Cybersecurity Analyst,"Database Management Systems, Systems Analysis and Design"
367,Signal Processing,AI Specialist,"Biochemical Engineering, Process Design"
