Program,Department,High School GPA,SAT Score,ACT Score,Advanced Coursework (0-10),STEM Extracurriculars (0-10),Leadership Experience (0-10),Letters of Recommendation (0-10),Personal Statement Quality (0-10),Diversity/Inclusion Contribution (0-10),Transfer Student GPA,Admission Accepted
Computer Science,Biological Sciences (in collaboration with COEIT),3.1,1089,35,10,6,7,4,5,6,3.3,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.84,1534,29,1,10,4,7,4,5,2.92,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.92,1120,25,3,4,3,3,7,9,3.5,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.68,1140,21,7,10,2,1,2,7,3.87,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.41,1030,23,9,10,2,8,10,1,3.47,Yes
Computer Science,Computer Science and Electrical Engineering,3.37,1245,35,1,9,8,2,0,8,2.7,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.38,1334,24,10,10,9,2,3,10,3.86,Yes
Computer Engineering,Mechanical Engineering,3.89,1556,31,2,3,9,4,9,9,3.6,No
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.89,1564,31,1,10,10,1,2,9,3.19,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.48,1460,23,8,9,10,5,4,5,3.09,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.19,1454,24,9,6,1,10,1,10,3.93,Yes
Bioinformatics and Computational Biology,Information Systems,2.65,1184,31,7,9,9,8,8,0,3.19,Yes
Information Systems,Mechanical Engineering,2.52,1273,33,5,0,3,5,4,10,2.6,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.3,1076,21,3,1,1,10,1,2,3.3,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.52,1003,25,3,2,9,5,10,9,3.3,Yes
Computer Science,Information Systems,2.51,1463,26,2,6,2,0,5,4,3.01,No
Chemical Engineering,Information Systems,3.87,1048,20,10,9,4,0,1,8,3.97,Yes
Computer Science,Computer Science and Electrical Engineering,2.77,1597,30,0,10,3,8,3,4,2.92,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.66,1138,23,1,9,3,8,4,6,3.51,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.07,1120,22,2,7,7,0,9,0,3.45,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.18,1445,25,4,4,2,4,1,0,2.65,Yes
Bioinformatics and Computational Biology,Information Systems,3.23,1413,27,6,8,1,3,5,10,2.66,Yes
Cybersecurity Informatics,Mechanical Engineering,3.08,1402,26,0,1,0,9,0,7,2.72,Yes
Computer Science,Computer Science and Electrical Engineering,3.04,1374,26,8,0,9,0,2,5,2.84,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),2.9,1419,31,7,4,4,4,9,3,3.02,Yes
Information Systems,Computer Science and Electrical Engineering,3.43,1500,35,1,8,0,5,7,1,3.31,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.9,1421,25,2,2,4,6,7,1,2.84,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.01,1038,24,5,9,1,8,2,0,3.65,Yes
Computer Science,Computer Science and Electrical Engineering,3.52,1394,30,10,8,6,2,1,2,3.96,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.54,1431,23,9,4,5,6,2,3,2.84,No
Mechanical Engineering,Computer Science and Electrical Engineering,2.68,1435,35,0,2,6,0,7,5,3.23,Yes
Computer Engineering,Mechanical Engineering,2.71,1276,34,5,5,8,7,8,6,2.68,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.21,1186,20,3,6,10,10,6,5,3.04,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.8,1029,32,5,4,9,8,6,7,2.76,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.85,1391,26,0,0,1,0,7,9,3.62,Yes
Chemical Engineering,Mechanical Engineering,3.48,1491,32,2,2,5,6,0,9,3.22,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.18,1133,21,10,9,0,6,9,2,3.73,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.36,1569,20,6,4,2,5,0,1,3.87,No
Bioinformatics and Computational Biology,Information Systems,3.84,1089,29,7,0,4,0,8,7,2.98,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.1,1163,24,3,0,1,0,6,0,2.76,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",2.68,1060,24,1,2,7,3,5,5,3.61,Yes
Computer Engineering,Information Systems,3.96,1257,24,10,7,10,6,6,8,2.91,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.65,1165,25,9,8,9,3,4,2,3.04,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",2.65,1363,34,6,10,4,4,6,3,3.85,Yes
Information Systems,Information Systems,3.07,1554,22,5,2,3,4,2,3,2.82,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",2.6,1272,20,9,0,7,9,10,0,2.63,Yes
Chemical Engineering,Information Systems,3.9,1258,30,0,2,2,1,8,9,3.84,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.47,1100,23,1,3,9,10,0,1,3.58,Yes
Environmental Engineering,Mechanical Engineering,3.55,1432,25,2,4,3,10,2,0,3.27,Yes
Computer Engineering,Information Systems,3.88,1306,22,2,10,7,8,3,10,3.71,No
Cybersecurity Informatics,Mechanical Engineering,3.88,1539,22,9,1,9,5,2,0,2.86,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",2.79,1128,32,1,2,5,3,6,9,3.01,Yes
Mechanical Engineering,Mechanical Engineering,3.33,1320,26,6,10,10,0,1,3,3.89,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.51,1467,32,1,1,5,4,5,4,2.73,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.93,1035,23,9,10,7,1,7,7,3.33,No
Computer Engineering,Mechanical Engineering,2.68,1019,20,4,3,3,6,0,10,2.61,No
Computer Science,Information Systems,3.57,1435,32,0,1,9,1,1,7,2.84,Yes
Chemical Engineering,Information Systems,3.53,1276,29,2,7,10,6,1,6,3.19,Yes
Cybersecurity Informatics,Information Systems,3.46,1486,28,5,10,7,0,4,3,3.74,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.6,1547,22,8,8,3,8,7,1,2.63,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.63,1325,24,3,8,7,0,1,0,3.75,Yes
Business TechNology Administration,Information Systems,2.56,1544,30,4,0,1,8,8,4,3.39,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),2.56,1554,35,0,10,1,1,1,7,3.61,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.55,1518,28,4,2,3,3,5,7,2.58,No
Bioinformatics and Computational Biology,Information Systems,2.75,1374,34,0,9,3,8,4,6,3.5,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.52,1097,31,7,6,3,7,9,2,2.67,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.55,1490,21,1,10,7,7,9,10,2.82,Yes
Mechanical Engineering,Information Systems,2.75,1469,32,4,4,2,4,8,5,2.98,Yes
Electrical Engineering,Information Systems,3.34,1283,21,6,8,6,3,10,5,3.1,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.39,1364,25,5,6,7,5,8,8,3.14,Yes
Environmental Engineering,Information Systems,3.64,1155,23,3,4,5,3,9,7,4,No
Cybersecurity Informatics,Mechanical Engineering,3.56,1180,30,5,7,7,5,6,1,2.61,Yes
Computer Science,Computer Science and Electrical Engineering,2.83,1295,24,2,5,0,5,2,1,2.69,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.22,1024,26,4,6,10,6,3,5,3.88,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.25,1473,24,6,9,10,5,2,3,2.78,Yes
Computer Science,Computer Science and Electrical Engineering,3.46,1379,23,10,3,0,9,9,10,2.55,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.02,1260,31,3,2,0,0,4,8,3.96,Yes
Environmental Engineering,Mechanical Engineering,3.21,1223,23,3,0,9,7,4,0,3.47,Yes
Information Systems,Mechanical Engineering,3.52,1378,35,2,1,3,0,6,6,3.13,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.33,1272,24,4,7,0,2,2,2,3.84,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.59,1342,33,4,1,1,10,10,9,3.51,Yes
Mechanical Engineering,Information Systems,3.05,1202,33,0,10,7,1,1,5,3.01,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.66,1324,23,6,0,9,0,4,10,3.61,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.65,1229,31,6,8,2,9,6,10,2.77,No
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.29,1077,20,6,4,7,9,5,2,3.03,No
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",2.78,1216,29,1,2,10,3,2,8,3.31,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.22,1500,25,3,5,0,6,0,6,3.68,No
Electrical Engineering,Computer Science and Electrical Engineering,2.51,1043,29,10,9,9,2,2,0,3.84,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.9,1459,31,8,7,8,3,1,1,3.02,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.5,1284,29,8,0,2,4,10,8,3.86,Yes
Business TechNology Administration,Information Systems,3.63,1494,29,1,5,3,6,9,10,2.54,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.76,1587,32,4,6,3,5,6,3,3.35,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.36,1198,27,2,5,5,4,10,1,3.15,Yes
Mechanical Engineering,Information Systems,3.54,1075,33,1,7,4,3,6,2,3.66,Yes
Information Systems,Information Systems,3.37,1573,31,5,6,1,0,6,3,3.84,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.41,1358,27,4,0,10,4,4,7,3.95,Yes
Computer Science,Mechanical Engineering,2.99,1036,30,5,2,7,8,7,10,3.62,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),3.93,1046,26,1,3,9,5,10,8,3.98,Yes
Chemical Engineering,Computer Science and Electrical Engineering,2.53,1202,23,3,10,7,2,7,5,3.76,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.49,1356,28,1,3,3,0,4,9,3.74,Yes
Mechanical Engineering,Mechanical Engineering,3.83,1566,20,3,4,5,7,4,8,2.56,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",2.95,1200,32,5,3,7,4,1,2,2.65,Yes
Mechanical Engineering,Information Systems,3.12,1585,26,1,5,5,9,7,6,2.9,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.72,1438,23,4,2,4,9,6,10,3.01,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.93,1477,20,5,0,8,0,1,7,3.06,No
Computer Engineering,Computer Science and Electrical Engineering,3.84,1199,22,5,10,8,0,0,3,3.29,Yes
Mechanical Engineering,Information Systems,2.55,1098,32,8,10,2,9,5,8,3.9,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.2,1468,31,4,7,10,7,3,1,3.93,No
Information Systems,Biological Sciences (in collaboration with COEIT),3.07,1167,21,7,10,5,8,9,1,2.65,Yes
Information Systems,Computer Science and Electrical Engineering,4,1201,35,8,5,7,4,0,4,3.78,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),3.91,1249,24,10,1,0,8,2,1,3.86,No
Environmental Engineering,Information Systems,3.63,1086,21,0,3,5,3,6,4,2.58,Yes
Cybersecurity Informatics,Information Systems,2.53,1494,20,7,6,7,10,4,8,2.98,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.02,1357,23,6,2,5,7,3,6,3.45,Yes
Chemical Engineering,Mechanical Engineering,3.91,1188,22,0,9,10,0,7,3,2.7,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.92,1109,26,10,10,0,7,3,2,3.11,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.83,1257,22,3,9,9,6,10,3,2.71,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,2.56,1472,34,8,2,7,10,8,9,3.89,Yes
Chemical Engineering,Information Systems,3.37,1458,25,9,0,7,0,5,3,3.55,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.97,1068,32,9,0,5,2,6,0,3.25,Yes
Chemical Engineering,Information Systems,2.84,1365,28,4,6,9,10,9,1,2.78,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",2.53,1158,33,5,0,2,9,9,5,3.44,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.25,1061,31,7,8,10,8,2,7,2.56,Yes
Computer Science,Mechanical Engineering,3.89,1130,32,2,4,5,3,6,4,3.63,Yes
Chemical Engineering,Information Systems,3.47,1128,33,3,5,1,1,7,3,2.55,Yes
Cybersecurity Informatics,Information Systems,3.77,1381,21,0,6,9,10,3,9,3.39,Yes
Environmental Engineering,Information Systems,2.69,1519,35,7,1,5,6,6,10,3.03,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.89,1474,25,1,7,3,2,10,6,3.08,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.89,1034,28,0,2,1,2,1,7,3.89,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.25,1323,32,3,8,3,3,4,1,3.37,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.97,1126,32,7,7,0,8,5,2,3.17,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.78,1017,32,10,6,4,7,6,7,3.58,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.48,1560,35,9,8,6,0,4,7,2.77,No
Electrical Engineering,Mechanical Engineering,3.58,1456,26,4,3,6,2,8,2,3.38,Yes
Chemical Engineering,Computer Science and Electrical Engineering,2.53,1499,34,6,2,7,4,9,0,3.2,No
Environmental Engineering,Computer Science and Electrical Engineering,3.94,1251,34,0,7,0,6,7,6,3.66,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.66,1448,35,2,7,1,3,1,10,3.14,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",2.86,1521,30,2,5,8,8,9,2,3.5,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.65,1038,34,6,1,9,7,5,2,3.1,No
Business TechNology Administration,Mechanical Engineering,3.58,1241,23,1,0,4,6,9,3,3.22,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.14,1487,31,2,6,7,1,0,5,2.95,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",2.87,1463,20,5,3,2,3,1,3,3.24,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.42,1489,25,5,3,0,6,3,6,2.61,Yes
Computer Engineering,Information Systems,2.76,1375,25,5,6,0,4,6,2,2.61,No
Bioinformatics and Computational Biology,Information Systems,3.03,1326,23,6,7,0,1,10,1,3.46,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.18,1489,24,6,7,1,1,5,2,3.3,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.71,1327,34,9,1,0,5,4,10,3.17,No
Information Systems,Information Systems,3.15,1571,21,1,4,4,3,8,10,3.68,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.67,1370,22,9,6,6,4,2,0,3.01,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.92,1338,27,9,5,2,8,10,2,3.45,No
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.02,1034,20,7,9,9,4,5,3,3.36,No
Cybersecurity Informatics,Information Systems,2.53,1494,22,4,6,5,2,7,7,3.12,Yes
Mechanical Engineering,Information Systems,3.2,1303,24,4,1,4,10,5,7,3.07,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.21,1446,22,1,3,7,6,9,0,3.86,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.59,1314,31,6,6,7,7,8,6,3.93,Yes
Information Systems,Computer Science and Electrical Engineering,3.55,1555,27,4,2,4,8,6,8,3.75,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.52,1544,34,5,6,1,7,2,6,3.56,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.62,1581,33,8,3,10,8,2,2,3.3,Yes
Computer Science,Computer Science and Electrical Engineering,2.74,1215,27,0,8,9,10,8,10,3.8,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),2.62,1563,22,7,0,9,7,8,9,3.53,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.05,1341,32,0,7,8,6,5,10,3.28,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.65,1090,27,4,8,0,6,9,1,3.63,Yes
Computer Science,Computer Science and Electrical Engineering,3.97,1499,26,7,1,8,8,9,7,3.89,Yes
Computer Science,Computer Science and Electrical Engineering,3.88,1490,27,8,8,8,9,5,4,3.9,No
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),3.05,1158,24,3,0,9,7,7,1,3.95,Yes
Computer Science,Information Systems,3.03,1140,25,5,1,1,2,0,0,2.61,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",2.74,1205,28,9,0,10,7,8,4,3.04,No
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.46,1311,27,1,4,3,8,3,0,3.95,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.51,1589,28,8,2,3,2,5,10,3.75,Yes
Environmental Engineering,Information Systems,3.66,1046,28,2,3,5,3,8,10,3.99,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.22,1587,27,1,1,2,6,6,9,3.66,Yes
Business TechNology Administration,Information Systems,3.81,1095,31,9,6,4,6,9,8,3.96,No
Business TechNology Administration,Computer Science and Electrical Engineering,3.31,1105,32,3,6,3,4,5,0,2.59,Yes
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),2.7,1186,22,7,5,10,5,9,4,3.37,Yes
Bioinformatics and Computational Biology,Information Systems,3.3,1442,24,10,1,9,0,8,6,2.67,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.97,1053,30,9,1,0,6,10,6,3.9,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.85,1237,34,3,0,8,7,10,4,3.02,Yes
Business TechNology Administration,Information Systems,3.82,1051,22,7,1,4,3,8,3,3.25,No
Electrical Engineering,Information Systems,3.74,1277,34,2,6,2,1,9,5,2.8,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.77,1267,32,10,10,8,7,9,5,3.19,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),3.7,1064,29,7,9,5,3,10,3,2.97,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.08,1196,23,5,0,3,7,5,3,3.16,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.51,1031,24,5,7,1,1,5,8,2.99,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.21,1240,20,6,4,0,10,6,3,3.87,No
Information Systems,Computer Science and Electrical Engineering,3.28,1581,35,6,8,4,2,5,8,2.92,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.99,1046,29,5,5,0,1,4,0,2.8,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.77,1468,20,7,10,0,8,3,7,2.83,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.01,1402,32,0,4,3,6,1,2,2.51,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.14,1310,32,7,4,9,1,6,1,3.59,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.84,1011,21,8,2,0,0,7,6,3.11,Yes
Computer Science,Information Systems,3.11,1255,31,7,6,8,2,3,7,4,Yes
Business TechNology Administration,Information Systems,3.3,1033,20,5,4,2,9,1,1,2.78,Yes
Information Systems,Information Systems,2.53,1361,26,3,0,1,1,7,1,3.25,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),2.75,1317,24,1,3,3,4,4,8,3.38,Yes
Mechanical Engineering,Information Systems,2.98,1012,28,9,8,1,3,9,9,3.83,Yes
Information Systems,Mechanical Engineering,3.05,1409,31,7,3,2,1,9,9,3.69,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.4,1231,21,10,3,10,0,8,6,2.85,Yes
Computer Science,Computer Science and Electrical Engineering,3.18,1281,25,3,6,1,4,2,4,3.3,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.59,1456,34,0,0,4,6,0,9,3.81,Yes
Chemical Engineering,Mechanical Engineering,2.71,1525,24,3,9,9,6,6,4,3.78,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),3.3,1490,34,3,6,4,4,1,9,2.67,No
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.44,1172,30,6,6,1,4,9,8,3.88,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.82,1071,34,7,2,2,0,3,8,3.36,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.19,1004,31,8,5,2,9,2,4,2.84,Yes
Mechanical Engineering,Mechanical Engineering,2.78,1128,21,2,1,10,9,8,10,2.57,Yes
Information Systems,Computer Science and Electrical Engineering,2.82,1295,32,7,1,0,8,2,6,3.85,Yes
Computer Engineering,Information Systems,3.21,1476,28,1,6,6,8,9,0,3.51,Yes
Computer Engineering,Information Systems,3.84,1413,27,7,5,8,3,8,5,3.23,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.88,1235,20,6,7,4,5,6,9,3.71,Yes
Computer Science,Information Systems,3.88,1420,23,3,0,3,9,9,5,3.33,Yes
Chemical Engineering,Information Systems,2.91,1284,30,1,5,9,10,2,5,2.92,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.39,1261,35,0,9,9,10,10,9,3.94,Yes
Cybersecurity Informatics,Information Systems,3.24,1220,34,9,8,0,0,8,3,2.99,Yes
Computer Science,Computer Science and Electrical Engineering,3.44,1346,26,6,4,3,3,7,1,3.12,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.77,1195,26,1,0,7,1,2,10,3.86,No
Computer Science,Information Systems,3.92,1495,31,9,9,0,9,8,8,3.53,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),2.74,1290,35,10,10,8,2,10,8,3.59,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),2.88,1055,25,8,10,10,3,6,5,3.71,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.59,1051,21,0,6,8,10,2,7,3.1,Yes
Cybersecurity Informatics,Mechanical Engineering,3.3,1321,35,1,2,3,3,6,5,3.89,Yes
Computer Science,Information Systems,3.56,1004,22,6,2,5,3,8,10,3.92,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),2.66,1462,35,10,10,7,2,0,7,3.77,No
Information Systems,Information Systems,2.78,1145,33,6,2,8,4,7,3,2.7,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.1,1428,26,10,3,4,0,6,0,3.77,Yes
Computer Science,Computer Science and Electrical Engineering,2.99,1228,23,0,9,9,3,6,8,2.82,No
Computer Science,Computer Science and Electrical Engineering,3.17,1338,29,1,4,6,2,1,2,3.2,Yes
Computer Science,Computer Science and Electrical Engineering,2.53,1370,31,9,8,10,7,8,5,3.58,No
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.25,1493,24,8,7,2,5,10,7,2.51,No
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.6,1457,21,3,7,7,2,1,2,3.74,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.31,1222,25,0,2,4,7,8,5,3.09,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.55,1050,35,2,10,10,6,3,6,2.95,Yes
Information Systems,Computer Science and Electrical Engineering,3.03,1184,21,5,1,3,3,9,5,3.07,Yes
Bioinformatics and Computational Biology,Information Systems,2.9,1487,31,8,1,4,4,5,7,2.84,No
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.81,1245,33,5,8,6,9,10,1,3.16,No
Environmental Engineering,Information Systems,3.26,1356,33,2,2,3,8,0,8,2.76,No
Cybersecurity Informatics,Information Systems,3.02,1212,31,0,1,8,8,10,0,3.27,Yes
